2024-07-09T05:55:06.467Z FIND Found epoch range to explore:  636 640
2024-07-09T05:55:06.469Z FIND Found delinquent validators [ 'C6uqzABsRPmFd14iL9Ej36AbddVxXPJWV6jwbLZYdYJM' ]
2024-07-09T05:55:09.123Z STAKES Stake account H6dpCAiSD79ZT6ep6tTPYnpz64jaTyz71iijnEPHSSEE is de-activated:  0.002288962
2024-07-09T05:55:09.123Z STAKES Stake account Hk18yCsijKhBAgKPAXhUy4S9gsTPxtbC1y7y1XvaaxFV is de-activating:  0.003334595
2024-07-09T05:55:09.123Z STAKES Stake account EfWA9bapTY99ddZrpCes9rFdTHepZncobXLNohUvHhjJ is de-activating:  1.014948232
2024-07-09T05:55:09.123Z STAKES Stake account FSabZFQQEYb4eoVbT7KxpnYSYAMNJeE6BNdDy3M4i6ek is de-activating:  1.014948232
2024-07-09T05:55:09.123Z STAKES Stake account HxqC6NCrERYPsh9ZK8N7N1uJTr3LZRNTsoBGq1FN7dxZ is de-activating:  1.014529722
2024-07-09T05:55:09.123Z STAKES Found:  3  accounts that can be de-activated delinquent validator C6uqzABsRPmFd14iL9Ej36AbddVxXPJWV6jwbLZYdYJM
2024-07-09T05:55:09.148Z DEACTIVATE Blockhash: 3BBTgyH1tV3Qi9UfbB4rz6PwMkJnM9nDKAbW2LttkoHi
2024-07-09T05:55:09.181Z DEACTIVATE Sent tx: kSToJuwCWouvThpU5uKCmA71f15VoMdjHCx3r5bvt2kYQcGzNQ5QHqVgVFQBsb9mb3qo5NaY8VqYakoKZVM3M1j https://explorer.solana.com/tx/kSToJuwCWouvThpU5uKCmA71f15VoMdjHCx3r5bvt2kYQcGzNQ5QHqVgVFQBsb9mb3qo5NaY8VqYakoKZVM3M1j
2024-07-09T05:55:09.285Z DEACTIVATE Waiting for confirmations...
2024-07-09T05:55:29.456Z DEACTIVATE Confirmed.
2024-07-09T05:55:29.456Z FIND Deactivated stake accounts with total balance:
2024-07-09T05:55:29.456Z FIND Total de-activated: 19.937408922
